No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price,Change,Volume
1,SNDK,10.85%,60.58%,362.16%,475.14%,440.47%,-,-,-,-,10.54%,9.44%,6.33M,1.51,194.57,-6.01%,"9,568,940"
2,IREN,6.74%,15.38%,263.70%,925.08%,578.51%,630.59%,1820.17%,-,-,9.57%,11.35%,36.21M,1.25,66.63,-1.65%,"45,349,261"
3,BE,13.92%,48.38%,232.09%,689.78%,481.04%,1244.27%,596.81%,783.90%,-,11.35%,10.33%,13.23M,1.08,129.05,-9.36%,"14,270,586"
4,LUMN,4.88%,47.21%,180.32%,147.42%,98.49%,64.95%,43.60%,21.01%,-61.87%,17.18%,9.22%,18.39M,1.78,10.54,-10.90%,"32,751,910"
5,SATS,-1.76%,-4.30%,172.25%,207.19%,220.87%,193.22%,290.64%,219.34%,164.23%,3.32%,3.38%,5.12M,0.35,73.48,-2.51%,"1,792,415"
6,GH,41.05%,54.84%,120.09%,134.06%,221.24%,348.54%,105.14%,-12.13%,-,6.54%,4.96%,2.67M,1.12,98.14,-0.79%,"2,988,438"
7,RGTI,-5.10%,-15.66%,120.01%,259.53%,130.54%,2565.15%,1583.25%,-,-,11.82%,13.23%,79.31M,0.69,35.18,-10.07%,"54,693,751"
8,WDC,21.82%,21.47%,106.26%,243.60%,237.74%,208.37%,467.31%,418.93%,199.83%,8.19%,6.27%,8.92M,0.99,152.18,-3.70%,"8,813,651"
9,NBIS,-9.27%,-11.53%,100.65%,341.45%,299.06%,417.03%,208.17%,156.53%,343.58%,8.08%,8.19%,17.64M,0.99,110.54,-8.24%,"17,421,008"
10,CIEN,-0.09%,19.33%,93.90%,151.68%,115.62%,187.94%,279.01%,375.73%,691.65%,4.57%,4.74%,2.49M,1.20,182.87,-3.53%,"2,994,044"
11,NXT,2.90%,27.41%,82.74%,132.71%,173.23%,150.65%,-,-,-,4.93%,4.92%,2.34M,0.87,99.81,-1.67%,"2,039,841"
12,INTC,-10.84%,1.20%,81.43%,85.71%,84.69%,72.07%,27.38%,-16.32%,7.43%,3.93%,4.91%,127.72M,0.78,37.03,-6.25%,"100,183,819"
13,IONS,-0.94%,5.59%,79.11%,128.75%,108.47%,89.84%,63.37%,59.06%,56.36%,3.41%,2.77%,2.48M,0.69,72.88,-1.05%,"1,726,241"
14,WBD,7.67%,18.45%,76.70%,168.09%,113.81%,177.98%,74.52%,17.28%,-21.47%,2.93%,3.90%,53.52M,0.77,22.60,1.39%,"41,166,308"
15,KRMN,-0.75%,14.12%,74.28%,120.92%,181.86%,-,-,-,-,3.87%,4.23%,1.39M,0.80,84.70,-2.69%,"1,113,234"
16,LITE,-5.06%,17.29%,71.22%,192.39%,124.37%,194.91%,151.65%,131.60%,1194.57%,6.80%,6.28%,3.53M,1.58,188.36,-5.62%,"5,570,042"
17,ROIV,7.93%,22.20%,70.56%,79.66%,67.96%,72.03%,278.48%,-,-,3.82%,3.34%,7.56M,1.54,19.87,1.38%,"11,640,880"
18,STX,12.28%,3.11%,70.01%,166.65%,190.09%,149.46%,386.65%,424.47%,538.72%,9.11%,6.14%,4.13M,0.83,250.38,-5.71%,"3,423,568"
19,QBTS,-7.06%,-15.08%,69.17%,311.34%,254.05%,2705.66%,672.47%,-,-,12.19%,13.94%,53.35M,0.67,29.74,-10.12%,"35,963,348"
20,CLS,2.86%,42.68%,69.05%,252.76%,263.80%,390.92%,2936.08%,5459.44%,2994.84%,7.54%,6.41%,3.06M,0.66,335.79,-3.79%,"2,036,143"
